No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字７,数字Ｂ１,数字Ｂ２,１等口数,２等口数,３等口数,４等口数,５等口数,６等口数,１等金額,２等金額,３等金額,４等金額,５等金額,６等金額,キャリーオーバー,販売実績
45,2014/02/14,01,02,09,18,21,27,33,25,31,0,9,163,7190,109093,182578,0,12406400,959000,12700,2000,1100,899790300,2463306900
46,2014/02/21,02,05,06,15,23,27,30,04,35,1,21,279,11944,166273,269340,800000000,6075000,640100,8700,1500,800,491347345,2814476100
47,2014/02/28,02,09,11,14,20,21,36,06,15,2,10,127,6304,100950,179186,411638000,11192600,1233800,14500,2200,1100,0,2469222000
48,2014/03/07,03,05,24,26,29,30,34,08,35,1,6,96,4568,78659,150052,240970300,13821600,1209300,14900,2100,1000,0,1829537400
49,2014/03/14,08,11,12,17,24,26,27,14,21,1,9,142,5956,91203,129398,237579900,8854400,785600,10900,1700,1100,0,1758062400
50,2014/03/21,03,04,07,08,15,24,29,11,16,2,13,193,8096,108710,167151,112997700,5740400,541300,7500,1300,800,0,1646345400
51,2014/03/28,01,04,05,08,20,23,35,15,33,0,7,85,5048,79109,140349,0,11055400,1274600,12500,1900,1000,228789300,1707276000
52,2014/04/04,08,10,22,24,26,32,34,05,09,0,7,78,4588,80076,157564,0,13429000,1687200,16800,2300,1000,517585780,2073818400
53,2014/04/11,01,04,14,16,20,33,36,12,30,2,11,105,5567,94976,166040,424722700,10154700,1489300,16400,2300,1200,0,2464287900
54,2014/04/18,01,03,05,10,18,22,23,07,35,0,12,156,6012,89428,160144,0,6757100,727600,11000,1800,900,239162760,1788856800
55,2014/04/25,04,12,14,17,23,30,36,13,33,1,5,132,6629,102151,161412,536627600,20250200,1073800,12500,2000,1100,0,2233722600
56,2014/05/02,04,23,26,27,28,32,36,29,30,0,5,69,4476,77069,125240,0,16071900,1630400,14700,2100,1100,239510660,1772830800
57,2014/05/09,05,06,12,16,17,20,33,08,32,0,14,130,5981,99333,167658,0,6948300,1047500,13300,1900,1000,535837750,2146036200
58,2014/05/16,01,06,07,08,23,32,33,11,34,1,5,176,7390,115904,204160,800000000,22002600,875000,12200,1900,900,69864060,2427019800
59,2014/05/23,05,08,12,13,21,30,35,27,34,0,10,134,6036,90778,152530,0,8769400,916100,11900,1900,1000,333161630,1934634600
60,2014/05/30,03,07,09,15,16,23,34,05,33,1,10,203,9309,131989,207951,636917600,9951000,686200,8700,1500,800,0,2195327100
61,2014/06/06,05,10,11,21,28,31,37,13,14,1,5,110,4819,73709,124174,231978000,15005200,954800,12700,2000,1000,0,1655167500
62,2014/06/13,04,10,12,15,27,32,33,09,16,0,6,115,5329,82357,137777,0,12590700,919600,11600,1800,900,234614670,1666602600
63,2014/06/20,04,08,19,24,28,30,32,12,37,1,15,180,7737,107083,167728,524339700,6457200,753300,10200,1800,1000,0,2136826500
64,2014/06/27,04,15,16,17,20,29,36,19,26,0,2,71,4186,72498,110154,0,38773400,1529000,15200,2100,1200,235685240,1710775200
65,2014/07/04,04,07,12,22,23,24,28,25,34,0,13,184,8698,127318,189206,0,7294900,721500,8900,1500,900,510891905,2092157700
66,2014/07/11,01,11,25,28,31,33,37,03,20,0,3,104,5619,99107,172089,0,35602400,1437700,15600,2100,1100,829816620,2356292700
67,2014/07/18,07,11,15,17,18,25,35,06,33,0,13,166,7610,121393,220199,0,9336100,1023500,13000,2000,1000,1181533320,2677560000
68,2014/07/25,02,07,13,15,24,34,35,12,23,1,25,210,10354,152027,281508,800000000,5519400,919800,10900,1800,800,808528740,3044115600
69,2014/08/01,13,17,20,22,28,29,37,11,12,1,9,118,5961,99657,179019,800000000,13107500,1399600,16200,2400,1100,363873750,2602513800
70,2014/08/08,09,10,18,21,27,33,35,04,11,3,15,163,7266,102768,178645,222116800,6723700,866200,11400,1900,1000,0,2225021400
71,2014/08/15,01,06,13,29,34,35,37,02,15,0,2,61,3423,61037,118919,0,37959300,1742300,18200,2500,1100,225783715,1674854700
72,2014/08/22,11,12,18,19,20,31,32,09,21,5,35,120,5236,84053,145081,103896700,2815300,1149500,15400,2300,1200,0,2173842600
73,2014/08/29,12,16,23,25,27,30,32,28,33,0,9,96,4888,79551,137375,0,8881600,1165600,13400,2000,1000,239746775,1763455500
74,2014/09/05,05,13,14,15,16,24,31,09,11,0,9,115,6063,100706,168688,0,10902000,1194400,13200,1900,1000,538287400,2164612500
75,2014/09/12,04,09,15,17,19,35,37,10,20,2,9,107,5858,102544,164397,434459600,12033700,1417000,15100,2100,1100,0,2389309200
76,2014/09/19,04,13,18,29,32,34,36,24,33,1,5,131,4941,76086,141102,241111000,15503500,828400,12800,2000,900,0,1710127800
77,2014/09/26,03,10,23,25,26,28,30,15,29,0,8,99,4883,79505,134731,0,9431900,1067000,12600,1900,1000,220682015,1664636700
78,2014/10/03,05,06,10,14,24,28,36,07,20,2,8,134,6232,93845,153240,245019800,11188900,935100,11700,1900,1000,0,1974738000
79,2014/10/10,02,04,07,09,21,29,37,06,36,0,8,83,4630,76764,127730,0,9076100,1224700,12800,1900,1000,213723005,1601838900
80,2014/10/17,02,05,10,18,21,24,27,25,34,0,6,161,6067,91076,142350,0,15082300,786800,12200,2000,1100,482184370,1996409700
81,2014/10/24,01,03,10,18,28,31,35,09,21,0,10,117,6097,101530,176500,0,10885100,1302400,14600,2100,1100,805203145,2401399500
82,2014/10/31,01,03,16,20,25,27,34,18,37,0,10,117,6744,116324,191383,0,13060900,1562800,15900,2200,1200,1195576075,2881403400
83,2014/11/07,01,11,21,26,28,32,35,18,22,0,11,118,7047,123990,218185,0,13156900,1717000,16800,2300,1200,1619633575,3192840000
84,2014/11/14,08,16,23,28,29,35,36,12,37,0,23,236,12518,180209,291170,0,6770600,923700,10200,1700,900,2095793915,3435487200
85,2014/11/21,06,07,10,11,22,26,35,14,23,1,22,242,10771,170753,306651,800000000,7538600,959400,12600,1900,900,1808128280,3658865700
